Student ID,"Cyber 
Bullying",Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 53,5,3,5,1,4,5,2,1,5
Student 54,5,2,1,3,2,3,2,3,4
Student 55,4,3,1,1,3,5,5,1,5
Student 56,3,3,1,1,5,5,1,2,5
Student 57,4,2,2,3,3,5,3,2,5
Student 58,5,2,4,2,5,4,5,1,4
Student 59,5,2,5,3,1,5,3,2,5
Student 60,3,2,3,2,4,5,4,2,5
Student 61,4,4,2,2,2,3,3,2,3
Student 62,4,2,2,2,4,4,5,1,5
Student 63,5,2,2,1,4,5,3,1,2
Student 64,4,3,4,2,3,2,3,1,5
Student 65,4,3,1,1,3,5,2,5,4
Student 66,5,3,1,2,3,2,5,2,5
Student 67,3,4,1,1,3,4,4,3,3
Student 68,5,3,2,2,4,3,2,1,5
Student 69,4,5,1,4,4,4,1,1,2
Student 70,4,3,2,2,3,4,5,4,3
Student 71,5,2,1,4,4,5,1,1,4
Student 72,5,3,1,1,5,5,1,1,3
Student 73,4,5,1,1,2,4,4,2,4
Student 74,3,5,1,1,1,1,5,2,3
Student 75,5,2,2,2,3,5,1,1,5
Student 76,3,2,1,1,2,4,5,5,5
Student 77,4,3,3,3,3,1,5,5,4
Student 78,5,3,1,1,5,4,3,1,4
Student 79,4,3,4,1,5,3,1,1,5
Student 80,4,3,1,2,4,4,5,2,4
Student 81,5,4,1,1,3,4,4,2,4
Student 82,4,3,2,2,3,2,1,1,5
Student 83,4,3,3,4,3,4,2,2,4
Student 84,4,2,3,2,4,4,2,1,4
Student 85,4,3,2,2,3,3,4,3,5
Student 86,4,2,2,2,4,5,1,1,5
Student 87,5,3,1,1,5,3,1,2,5
Student 88,5,2,2,2,5,4,2,1,4
Student 89,5,2,2,2,2,5,1,1,5
Student 90,3,3,1,1,4,5,2,2,5
Student 91,5,2,2,1,3,2,5,5,2
Student 92,5,2,1,1,4,5,2,1,5
Student 93,5,2,4,2,5,4,1,1,5
Student 94,5,2,2,1,4,3,1,1,4
Student 95,1,3,4,5,5,3,1,1,5
Student 96,5,2,4,1,5,2,5,1,5
Student 97,3,2,1,4,4,5,2,1,2
Student 98,5,2,2,2,4,2,4,1,4
Student 99,3,3,1,1,5,5,1,2,4
Student 100,5,2,1,1,5,5,4,2,5
Student 101,5,2,2,1,4,5,2,1,4
Student 102,5,2,2,2,2,4,5,1,5
Student 103,4,2,1,3,3,3,5,2,3
Student 104,5,2,1,1,5,5,4,1,5
Student 105,5,3,1,1,4,5,4,1,3
Student 106,4,2,2,2,3,5,1,1,4
Student 107,4,2,2,1,1,4,5,2,5
Student 108,5,2,1,1,5,5,2,2,2
Student 109,5,3,1,2,2,4,4,1,4
Student 110,5,3,2,1,5,5,1,1,5
Student 111,5,2,1,1,4,4,4,3,5
Student 112,4,3,3,1,4,4,3,1,3
Student 113,5,2,2,4,4,3,2,2,4
Student 114,4,4,1,2,3,5,2,1,5
Student 115,3,2,3,2,3,2,1,1,3
Student 116,2,2,2,3,4,4,2,2,5
Student 117,5,3,1,3,3,3,3,5,3
Student 118,3,2,2,3,5,4,4,1,3
Student 119,4,3,2,2,4,4,3,2,4
Student 120,4,3,4,2,5,4,1,1,4
Student 121,5,2,1,1,4,5,5,2,4
Student 122,4,3,4,2,3,4,5,2,4
Student 123,4,2,1,2,5,4,1,2,5
Student 124,5,2,2,2,5,3,4,1,4
Student 125,4,2,2,2,5,4,5,1,3
Student 126,4,3,2,1,4,4,1,3,5
Student 127,5,3,1,1,4,2,1,2,3
Student 128,4,3,1,3,3,4,5,2,5
Student 129,4,3,4,1,1,4,5,2,4
Student 130,4,4,4,3,4,4,2,2,4
Student 131,4,3,1,1,3,3,5,5,4
Student 132,5,2,1,3,3,3,1,1,5
Student 133,4,4,1,1,4,4,1,1,4
Student 134,5,2,1,1,4,5,1,2,5
Student 135,5,4,1,3,3,3,5,1,4
Student 136,5,2,2,1,3,3,3,1,2
Student 137,5,3,3,2,3,3,5,5,5
Student 138,5,2,2,2,4,3,4,1,5
Student 139,4,2,2,2,2,5,5,1,5
Student 140,5,3,1,2,2,5,3,2,4
Student 141,5,3,2,2,2,5,1,2,5
Student 142,5,3,3,3,2,5,1,1,5
Student 143,5,2,1,2,5,5,1,1,5
Student 144,5,3,3,1,5,4,5,1,5
Student 145,2,2,2,3,2,4,5,2,3
Student 146,4,2,2,1,3,2,5,2,3
Student 147,5,3,1,1,1,3,2,1,4
Student 148,4,5,4,1,4,5,3,1,4
Student 149,4,3,4,4,4,4,5,1,5
Student 150,4,3,1,1,2,5,1,2,5
Student 151,3,4,3,2,3,4,5,3,5
Student 152,5,2,1,2,2,4,3,2,4
Student 153,4,2,1,1,3,5,2,1,3
Student 154,4,3,4,1,2,2,5,2,5
Student 155,5,4,3,1,2,4,2,2,5
Student 156,5,2,1,1,5,3,5,2,5
Student 157,5,4,3,3,3,3,5,5,3
Student 158,5,3,2,1,4,3,5,1,4
Student 159,2,3,2,2,5,5,2,1,5
Student 160,5,3,2,3,2,3,2,2,4
Student 161,2,5,4,5,4,2,5,5,4
Student 162,5,5,3,5,5,5,1,2,5
Student 163,5,2,2,3,4,4,3,1,2
Student 164,5,1,1,2,4,4,2,1,5
Student 165,3,4,1,1,4,2,3,2,5
Student 166,4,3,1,1,4,5,5,2,5
Student 167,5,2,2,1,5,5,1,1,5
Student 168,4,3,1,4,1,4,4,2,5
Student 169,3,2,2,5,5,3,2,1,5
Student 170,5,3,5,1,2,5,5,3,5
Student 171,5,3,2,1,5,2,5,3,5
Student 172,4,5,4,2,5,5,5,1,5
Student 173,4,3,2,2,4,3,3,3,5
Student 174,5,2,2,2,4,4,1,1,5
Student 175,3,5,1,4,3,4,4,2,4
Student 176,3,3,1,1,1,2,1,2,4
Student 177,5,3,2,2,3,3,3,2,4
Student 178,4,2,2,2,4,5,4,1,5
Student 179,4,2,1,2,3,3,2,2,3
Student 180,5,3,1,1,4,5,1,1,5
Student 181,5,2,2,2,3,4,1,1,4
Student 182,4,4,2,2,5,4,5,2,4
Student 183,4,2,2,1,4,4,4,2,5
Student 184,2,5,2,2,3,2,5,3,4
Student 185,5,5,1,1,5,5,1,1,5
Student 186,4,2,4,2,4,5,5,1,5
Student 187,3,3,2,1,1,5,3,5,5
Student 188,5,2,2,3,4,4,3,2,5
Student 189,4,3,1,1,3,5,5,3,5
Student 190,5,3,1,1,4,4,1,1,5
Student 191,5,3,2,2,3,5,3,1,4
Student 192,4,2,3,2,3,4,2,2,2
Student 193,5,3,2,1,3,4,5,1,4
Student 194,5,3,2,2,4,3,5,2,5
Student 195,4,2,2,2,4,5,2,1,5
Student 196,5,3,1,1,3,5,2,1,5
Student 197,5,2,2,1,3,4,4,2,5
Student 198,4,3,2,1,3,4,5,3,4
Student 199,5,2,4,2,5,5,1,1,5
Student 200,5,2,1,1,4,5,4,3,5
Student 201,5,3,2,3,2,2,5,1,5
Student 202,5,2,2,1,5,5,5,1,5
Student 203,5,3,1,1,5,5,5,1,4
Student 204,5,3,2,2,2,3,5,2,2
Student 205,3,1,1,2,5,4,1,1,5
Student 206,3,2,1,2,4,4,1,1,5
Student 207,5,2,4,2,5,4,1,1,5
Student 208,4,3,2,1,5,5,1,2,5
Student 209,4,3,4,2,3,3,5,1,3
Student 210,5,2,2,1,4,5,2,1,5
Student 211,4,3,2,2,3,4,5,2,4
Student 212,4,4,4,2,1,1,1,1,1
Student 213,4,2,2,2,5,3,5,2,5
Student 214,3,2,1,1,3,5,4,2,5
Student 215,4,2,1,1,5,5,5,4,2
Student 216,4,3,4,4,3,3,5,5,2
Student 217,5,2,3,2,5,5,4,1,5
Student 218,5,3,2,2,3,4,1,1,5
Student 219,4,2,1,1,4,5,5,2,4
Student 220,5,2,1,1,4,5,5,2,5
Student 221,4,4,1,1,4,3,3,2,5
Student 222,4,2,2,3,4,4,1,1,5
Student 223,4,4,2,2,3,4,4,2,5
Student 224,4,3,1,3,4,5,5,2,5
Student 225,5,2,1,5,5,5,1,1,5
Student 226,4,3,1,1,3,4,5,5,3
Student 227,5,3,2,4,3,5,2,1,5
Student 228,5,3,1,2,3,4,1,1,5
Student 229,5,3,2,2,4,4,5,1,3
Student 230,3,3,2,2,5,5,1,1,5
Student 231,5,2,2,1,4,4,2,1,5
Student 232,5,3,2,2,4,3,3,2,4
Student 233,3,2,2,1,4,5,5,1,5
Student 234,5,3,4,2,4,4,3,1,4
Student 235,5,2,3,1,3,4,4,2,4
Student 236,5,2,2,2,5,3,4,1,4
Student 237,2,3,2,2,3,5,1,1,2
Student 238,5,3,2,2,5,5,1,1,5
Student 239,4,2,2,2,4,5,1,1,4
Student 240,5,3,1,2,4,5,5,2,4
Student 241,5,2,1,1,2,4,4,1,5
Student 242,5,2,1,1,3,4,5,2,3
Student 243,4,3,1,1,2,2,4,2,4
Student 244,4,2,4,4,3,4,4,1,5
Student 245,4,3,1,1,4,4,2,3,4
Student 246,5,3,2,4,3,5,5,3,5
Student 247,5,3,2,2,3,5,1,2,5
Student 248,4,3,1,1,3,4,5,2,5
Student 249,5,2,1,2,4,5,1,1,5
Student 250,5,2,2,2,5,5,1,1,5
Student 251,4,4,1,3,3,5,2,1,5
Student 252,4,2,4,4,3,2,4,2,5
Student 253,4,3,2,2,4,5,3,1,3
Student 254,5,3,2,1,5,4,1,1,4
Student 255,5,2,4,4,4,4,5,1,2
Student 256,3,5,1,2,4,5,3,2,5
Student 257,5,2,4,1,4,5,2,2,5
Student 258,4,2,2,1,5,5,2,1,5
Student 259,4,3,1,2,5,5,1,1,5
Student 260,5,2,2,1,5,5,3,1,5
Student 261,4,4,1,2,3,4,5,2,4
Student 262,4,2,2,2,3,5,3,2,5
Student 263,5,3,1,2,4,5,5,1,4
Student 264,4,3,2,2,4,2,5,2,5
Student 265,5,2,3,2,4,2,5,2,4
Student 266,4,3,1,1,5,5,1,1,3
Student 267,5,2,1,1,3,4,5,5,5
Student 268,5,3,2,2,5,5,5,1,3
Student 269,3,3,2,1,4,4,4,3,3
Student 270,5,3,2,2,2,5,4,1,5
Student 271,5,2,2,2,1,3,5,1,4
Student 272,5,3,2,1,4,3,5,1,4
Student 273,5,2,1,1,3,5,2,1,4
Student 274,5,3,5,2,4,4,1,1,5
Student 275,5,2,1,1,4,5,5,2,5
Student 276,5,3,4,2,2,3,3,1,5
Student 277,5,2,2,1,4,5,1,2,5
Student 278,5,2,1,1,4,5,1,1,5
Student 279,4,2,3,1,4,5,1,1,5
Student 280,3,2,1,1,2,5,5,2,5
Student 281,5,2,1,1,5,5,2,1,5
Student 282,2,3,2,1,2,4,5,5,5
Student 283,5,3,3,2,3,4,2,1,4
Student 284,5,4,1,1,5,4,1,1,5
Student 285,4,2,2,2,1,2,5,2,2
Student 286,4,3,2,2,2,3,5,4,4
Student 287,5,2,1,1,5,5,2,1,5
Student 288,5,2,5,1,4,5,1,1,5
Student 289,4,3,2,1,3,4,5,2,3
Student 290,5,2,1,1,3,3,5,2,4
Student 291,4,3,2,1,4,4,3,3,5
Student 292,4,3,2,2,1,2,5,3,5
Student 293,4,5,1,1,4,3,5,1,5
Student 294,4,3,1,2,5,5,3,2,5
Student 295,4,3,2,1,4,2,5,1,5
Student 296,5,3,4,2,2,5,5,5,3
Student 297,5,3,2,1,3,5,4,2,5
Student 298,5,4,3,1,3,5,1,1,2
Student 299,5,4,1,2,4,4,2,1,3
Student 300,5,3,2,2,4,5,3,2,5
Student 301,5,3,4,3,4,3,2,2,4
Student 302,4,3,1,2,4,2,5,1,5
Student 303,4,2,4,2,3,5,3,2,4
Student 304,5,3,1,1,2,5,5,2,4
Student 305,5,3,1,3,5,5,2,1,5
Student 306,5,2,2,1,3,2,3,1,4
Student 307,5,3,2,2,3,3,1,1,2
Student 308,4,3,2,1,4,4,3,2,4
Student 309,5,3,2,2,5,5,5,2,4
Student 310,5,2,3,1,4,3,2,1,5
Student 311,5,3,1,1,3,5,2,2,5
Student 312,4,3,2,5,3,2,5,4,4
Student 313,5,1,1,1,5,5,2,1,3
Student 314,5,3,1,3,5,5,3,1,5
Student 315,4,3,2,2,5,5,3,1,5
Student 316,5,2,3,1,2,4,5,4,5
Student 317,5,3,1,1,5,4,5,3,5
Student 318,5,5,1,1,5,5,1,1,4
Student 319,5,2,3,3,5,5,3,1,4
Student 320,4,3,1,1,3,5,2,2,5
Student 321,5,3,4,1,5,5,2,1,5
Student 322,5,2,2,1,4,4,4,1,5
Student 323,4,2,2,2,4,3,4,1,3
Student 324,4,2,4,3,4,4,4,2,4
Student 325,5,2,4,4,3,4,5,1,5
Student 326,5,3,2,1,4,5,2,1,4
Student 327,4,3,2,1,3,5,2,2,4
Student 328,4,4,2,2,1,5,3,3,4
Student 329,4,3,4,2,3,4,5,2,4
Student 330,3,1,1,1,3,4,5,1,5
Student 331,4,3,1,1,1,3,5,4,4
Student 332,4,2,3,2,4,4,2,2,4
Student 333,4,3,2,1,3,5,4,1,5
Student 334,5,3,1,1,4,4,4,2,5
Student 335,3,3,1,2,4,3,5,1,2
Student 336,5,2,4,1,5,4,2,1,5
Student 337,4,3,2,2,3,4,5,2,5
Student 338,5,2,1,1,5,4,3,2,3
Student 339,4,3,2,1,3,5,5,2,3
Student 340,5,3,2,1,4,5,3,1,5
Student 341,5,2,2,1,4,5,2,1,2
Student 342,5,2,1,1,4,5,2,1,5
Student 343,4,2,1,3,3,3,2,1,5
Student 344,4,3,1,2,3,5,5,2,4
Student 345,5,2,1,1,5,5,1,1,5
Student 346,4,2,1,2,3,4,3,2,5
Student 347,5,2,2,1,5,5,2,1,4
Student 348,4,2,3,3,5,5,2,1,5
Student 349,4,3,3,1,4,3,2,1,5
Student 350,5,2,1,1,5,5,1,1,3
Student 351,3,2,1,1,4,5,3,2,5
Student 352,3,5,2,2,4,4,5,5,4
Student 353,5,2,1,1,5,4,1,2,5
Student 354,5,2,3,3,4,2,5,1,5
Student 355,5,3,2,2,4,1,5,2,5
Student 356,4,3,1,1,3,4,5,3,5
Student 357,4,3,2,2,4,3,5,2,4
Student 358,5,3,3,2,3,5,5,2,4
Student 359,5,3,2,2,3,4,5,1,5
Student 360,4,2,2,2,3,3,2,2,4
Student 361,5,2,2,1,5,4,5,3,5
Student 362,3,2,2,2,2,3,5,1,4
Student 363,5,3,4,2,4,3,5,5,4
Student 364,4,2,2,1,4,4,5,3,4
Student 365,5,2,1,2,4,3,4,1,5
Student 366,4,3,2,2,4,5,3,3,4
Student 367,3,3,2,3,2,3,2,1,4
Student 368,4,2,2,2,4,4,4,5,5
Student 369,5,4,2,2,1,4,5,1,5
Student 370,4,2,2,2,4,3,4,1,3
Student 371,3,2,1,1,4,5,5,3,5
Student 372,4,2,2,2,4,4,3,1,5
Student 373,4,2,1,3,2,3,2,1,4
Student 374,4,2,3,2,4,5,1,1,5
Student 375,4,3,2,2,4,5,1,4,4
Student 376,5,1,4,1,5,5,1,1,5
Student 377,5,2,3,2,5,5,1,1,5
Student 378,4,3,2,2,4,3,5,3,5
Student 379,4,3,3,2,4,4,3,3,4
Student 380,5,3,2,3,4,4,4,2,5
Student 381,5,2,1,1,3,3,1,2,5
Student 382,5,4,1,1,1,5,2,1,5
Student 383,5,4,1,1,4,3,5,2,4
Student 384,4,3,2,5,1,5,2,1,5
Student 385,5,2,4,1,5,5,5,2,4
Student 386,5,2,2,1,5,5,2,1,5
Student 387,4,3,2,3,3,4,4,3,3
Student 388,5,2,2,2,4,5,4,2,5
Student 389,4,3,2,4,2,2,2,1,4
Student 390,5,2,2,2,4,4,5,5,4
Student 391,4,4,2,4,3,4,5,2,4
Student 392,5,3,1,2,4,3,4,2,5
Student 393,4,2,1,1,3,3,5,3,4
Student 394,4,3,1,1,5,5,2,1,5
Student 395,5,3,1,1,4,3,5,2,4
Student 396,3,3,4,1,3,2,5,2,5
Student 397,5,3,2,1,3,3,3,1,5
Student 398,5,3,1,2,3,5,4,2,5
Student 399,5,3,1,1,4,5,4,3,4
Student 400,4,5,1,1,5,3,5,1,3
Student 401,4,2,2,1,3,5,2,1,5
Student 402,4,3,3,1,1,4,5,2,5
Student 403,5,3,1,1,3,4,5,2,5
Student 404,5,3,2,1,4,4,1,2,5
Student 405,5,3,1,2,4,3,3,2,4
Student 406,5,2,3,1,4,3,5,1,4
Student 407,4,2,2,2,2,5,1,1,5
Student 408,4,3,4,1,3,4,5,2,3
Student 409,4,3,2,2,3,3,5,3,4
Student 410,4,2,4,1,4,4,2,1,5
Student 411,5,3,2,1,4,4,1,1,5
Student 412,5,3,2,2,4,4,5,2,4
Student 413,5,2,2,2,4,5,5,2,5
Student 414,5,3,2,1,4,4,4,2,5
Student 415,4,2,3,2,4,3,2,1,5
Student 416,3,2,3,2,4,4,5,1,5
Student 417,4,2,4,2,5,4,1,2,3
Student 418,5,2,1,1,2,4,3,1,4
Student 419,3,4,1,1,2,2,3,2,4
Student 420,5,2,2,3,3,5,5,1,3
Student 421,4,3,1,2,3,4,5,2,5
Student 422,5,3,1,2,3,4,5,2,4
Student 423,4,3,3,2,4,5,4,1,5
Student 424,5,3,1,1,4,4,3,1,5
Student 425,5,3,2,1,3,5,3,1,5
Student 426,3,3,1,1,4,4,4,2,3
Student 427,5,3,1,2,4,2,5,2,5
Student 428,3,3,4,2,2,2,5,2,4
Student 429,3,5,2,1,5,5,5,3,5
Student 430,4,3,2,3,5,3,4,2,4
Student 431,5,2,1,2,3,5,5,2,1
Student 432,5,2,1,2,4,5,5,1,4
Student 433,4,2,1,1,3,3,1,2,5
Student 434,5,3,2,1,4,4,4,2,5
Student 435,5,4,4,3,2,5,5,3,4
Student 436,5,2,1,1,3,2,5,2,5
Student 437,3,2,2,1,3,4,5,2,5
Student 438,5,3,2,4,4,3,3,2,5
Student 439,5,3,2,1,3,1,5,1,5
Student 440,5,2,1,1,3,5,5,2,5
Student 441,5,2,1,2,4,5,5,2,5
Student 442,4,2,2,2,2,4,5,2,5
Student 443,4,3,2,2,4,2,5,1,4
Student 444,4,2,2,2,3,4,4,1,5
Student 445,4,4,2,4,2,3,4,3,3
Student 446,5,3,1,1,4,3,5,5,4
Student 447,5,2,2,2,3,4,1,1,3
Student 448,4,3,2,1,3,5,3,1,4
Student 449,5,2,1,1,2,4,5,2,5
Student 450,4,3,2,2,4,2,4,2,5
Student 451,4,3,2,4,2,3,5,2,5
Student 452,5,3,2,1,4,4,5,1,5
Student 453,4,2,1,2,4,5,2,2,4
Student 454,4,3,1,1,3,5,3,3,5
Student 455,5,3,2,3,4,2,5,1,4
Student 456,5,3,2,1,3,4,3,3,5
Student 457,3,3,2,2,1,2,4,2,3
Student 458,4,2,1,3,3,4,3,2,4
Student 459,4,4,1,2,3,4,4,1,4
Student 460,5,2,1,2,3,4,4,1,4
Student 461,4,3,1,1,2,2,1,1,4
Student 462,3,3,1,1,5,5,4,2,5
Student 463,5,2,1,1,3,4,2,1,5
Student 464,4,3,2,3,3,4,3,3,4
Student 465,3,3,1,2,3,4,1,1,2
Student 466,5,5,1,1,3,2,5,2,5
Student 467,3,3,1,1,4,4,5,5,4
Student 468,5,4,5,5,3,3,4,4,5
Student 469,4,1,3,3,2,3,1,1,3
Student 470,4,3,2,2,2,5,5,1,3
Student 471,4,2,1,1,5,4,5,1,5
Student 472,4,5,1,2,4,4,5,2,4
Student 473,5,2,2,2,1,3,2,1,4
Student 474,5,3,2,3,2,2,2,2,3
Student 475,4,2,1,1,3,4,5,1,5
Student 476,5,4,2,2,4,4,1,1,5
Student 477,4,2,1,2,4,5,5,1,5
Student 478,4,2,1,1,4,5,5,1,5
Student 479,5,2,1,1,5,5,5,2,5
Student 480,5,2,1,1,3,4,4,2,4
Student 481,4,2,1,4,2,2,3,2,3
Student 482,4,3,2,2,2,4,3,2,5
Student 483,5,3,1,1,5,5,1,1,5
Student 484,4,2,4,2,2,5,3,3,5
Student 485,5,3,1,1,5,5,5,2,5
Student 486,4,2,4,1,4,4,2,2,5
Student 487,4,2,2,2,5,2,5,1,2
Student 488,4,2,2,1,3,5,2,2,4
Student 489,5,2,1,1,5,5,1,1,5
Student 490,5,2,1,1,5,5,1,1,5
Student 491,5,2,4,2,5,5,2,2,4
Student 492,5,2,2,2,3,5,1,1,3
Student 493,4,1,1,1,5,4,1,2,5
Student 494,5,3,1,1,4,4,1,1,5
Student 495,5,3,2,1,3,3,5,2,4
Student 496,5,1,1,1,5,4,1,1,5
Student 497,5,1,1,1,5,5,1,1,5
Student 498,3,2,2,1,3,4,3,2,5
Student 499,3,4,2,2,3,4,3,2,5
Student 500,5,3,3,1,3,5,4,1,5
Student 501,4,2,1,1,4,4,1,1,4
Student 502,5,2,2,2,5,5,4,1,5
Student 503,4,2,2,2,4,3,3,1,4
Student 504,4,3,2,2,4,5,3,1,5
Student 505,4,2,1,1,5,5,2,1,5
Student 506,4,2,1,1,3,5,5,2,5
Student 507,4,3,1,2,4,5,3,2,5
Student 508,5,2,1,2,3,4,5,1,5
Student 509,4,4,1,3,3,3,2,1,4
Student 510,5,2,5,3,4,4,4,2,5
Student 511,4,3,2,2,3,2,3,3,3
Student 512,4,2,4,2,3,4,5,2,5
Student 513,5,3,2,2,3,4,2,1,4
Student 514,5,3,3,4,4,5,3,1,4
Student 515,5,2,5,1,4,4,1,1,3
Student 516,5,2,1,1,3,5,5,3,5
Student 517,4,3,1,1,4,4,2,2,5
Student 518,4,3,1,1,3,4,1,1,5
Student 519,4,3,5,2,3,4,5,1,4
Student 520,5,3,1,2,2,4,1,1,2
Student 521,5,2,1,2,4,2,5,5,3
Student 522,4,2,1,1,4,4,5,1,5
Student 523,5,3,2,2,5,3,4,1,5
Student 524,5,2,1,1,1,5,1,1,5
Student 525,5,3,2,2,3,3,5,2,5
Student 526,4,3,2,4,4,5,5,1,5
Student 527,5,3,1,1,4,3,5,2,5
Student 528,4,3,1,2,4,2,3,1,5
Student 529,4,2,2,2,4,3,5,1,5
Student 530,5,4,1,1,3,5,4,1,4
Student 531,4,4,1,2,1,3,2,3,4
Student 532,4,3,2,1,2,5,4,2,3
Student 533,5,1,1,2,5,5,2,1,4
Student 534,3,3,1,1,4,4,2,2,4
Student 535,3,2,1,1,3,5,3,1,4
Student 536,5,3,4,2,3,2,5,1,4
Student 537,3,3,1,3,3,5,5,2,2
Student 538,4,3,2,2,3,4,4,3,4
Student 539,5,4,1,2,5,4,1,1,5
Student 540,3,3,2,3,3,4,5,1,5
Student 541,5,3,2,2,4,2,5,5,5
Student 542,5,3,2,2,2,5,5,2,5
Student 543,5,2,4,1,3,4,5,3,4
Student 544,4,4,2,3,4,5,1,1,4
Student 545,4,4,1,1,5,1,5,1,5
Student 546,5,3,3,3,4,4,4,1,4
Student 547,4,2,1,2,3,3,2,2,5
Student 548,5,2,3,2,5,4,3,2,4
Student 549,5,2,1,2,3,4,4,1,5
Student 550,5,2,1,1,4,3,4,1,5
Student 551,5,2,2,2,3,4,5,4,4
Student 552,4,2,1,2,3,4,4,1,4
Student 553,5,2,1,1,4,4,2,1,5
Student 554,3,5,3,1,4,5,4,5,5
Student 555,4,3,3,4,4,3,5,2,3
Student 556,5,3,2,2,4,5,4,2,5
Student 557,5,2,2,3,5,4,1,1,4
Student 558,4,5,2,3,2,2,5,2,5
Student 559,4,3,2,2,4,5,2,2,5
Student 560,4,3,2,1,2,4,5,3,5
Student 561,5,2,3,4,3,4,4,2,5
Student 562,4,2,4,1,4,5,3,1,4
Student 563,5,3,1,1,4,4,2,1,2
Student 564,4,4,2,1,3,3,5,5,5
Student 565,5,3,2,2,5,4,3,2,3
Student 566,4,2,2,1,5,5,1,1,5
Student 567,5,3,4,4,2,4,4,2,5
Student 568,4,3,2,1,4,5,5,2,4
Student 569,5,2,1,2,4,5,5,1,5
Student 570,5,2,1,2,3,2,5,4,2
Student 571,5,3,5,4,3,2,4,2,4
Student 572,4,2,3,2,4,3,4,1,5
Student 573,4,1,1,2,4,5,1,1,5
Student 574,5,2,3,2,5,4,2,2,4
Student 575,3,4,2,1,3,2,5,2,4
Student 576,5,2,1,2,5,3,5,2,5
Student 577,4,3,1,2,3,4,4,1,4
Student 578,2,3,2,2,4,4,5,2,4
Student 579,5,3,1,2,3,3,1,2,5
Student 580,5,2,1,1,3,3,2,2,5
Student 581,5,3,3,1,3,5,2,3,5
Student 582,5,2,2,1,3,3,4,2,4
Student 583,5,4,4,2,4,4,2,1,4
Student 584,5,2,2,2,5,5,4,1,4
Student 585,5,2,1,2,5,4,1,2,4
Student 586,5,5,2,1,3,5,1,1,5
Student 587,5,2,2,2,2,2,5,2,4
Student 588,5,3,1,1,3,5,5,1,3
Student 589,5,2,1,1,5,4,5,3,4
Student 590,4,2,1,1,3,4,3,1,4
Student 591,5,3,4,2,4,5,2,1,5
Student 592,4,2,1,4,4,1,4,1,4
Student 593,4,3,1,2,4,2,5,5,4
Student 594,5,3,5,2,3,2,5,1,5
Student 595,4,2,1,2,5,4,1,1,5
Student 596,4,3,1,1,5,5,5,5,4
Student 597,5,2,2,2,3,5,2,2,5
Student 598,5,2,1,1,5,5,1,1,5
Student 599,4,3,1,1,3,3,4,1,5
Student 600,5,3,1,1,3,3,5,2,4
Student 601,5,2,2,2,4,4,2,1,2
