Student ID,Spam,Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 50,2,3,2,1,3,3,5,2,3
Student 51,2,3,1,1,4,5,2,3,5
Student 52,3,3,3,2,3,4,1,1,4
Student 53,2,3,5,1,4,5,2,1,5
Student 54,3,2,1,3,2,3,2,3,4
Student 55,1,3,1,1,3,5,5,1,5
Student 56,4,3,1,1,5,5,1,2,5
Student 57,2,2,2,3,3,5,3,2,5
Student 58,1,2,4,2,5,4,5,1,4
Student 59,2,2,5,3,1,5,3,2,5
Student 60,1,2,3,2,4,5,4,2,5
Student 61,4,4,2,2,2,3,3,2,3
Student 62,2,2,2,2,4,4,5,1,5
Student 63,3,2,2,1,4,5,3,1,2
Student 64,3,3,4,2,3,2,3,1,5
Student 65,1,3,1,1,3,5,2,5,4
Student 66,3,3,1,2,3,2,5,2,5
Student 67,4,4,1,1,3,4,4,3,3
Student 68,2,3,2,2,4,3,2,1,5
Student 69,2,5,1,4,4,4,1,1,2
Student 70,2,3,2,2,3,4,5,4,3
Student 71,4,2,1,4,4,5,1,1,4
Student 72,4,3,1,1,5,5,1,1,3
Student 73,1,5,1,1,2,4,4,2,4
Student 74,3,5,1,1,1,1,5,2,3
Student 75,3,2,2,2,3,5,1,1,5
Student 76,2,2,1,1,2,4,5,5,5
Student 77,3,3,3,3,3,1,5,5,4
Student 78,4,3,1,1,5,4,3,1,4
Student 79,2,3,4,1,5,3,1,1,5
Student 80,3,3,1,2,4,4,5,2,4
Student 81,3,4,1,1,3,4,4,2,4
Student 82,2,3,2,2,3,2,1,1,5
Student 83,2,3,3,4,3,4,2,2,4
Student 84,1,2,3,2,4,4,2,1,4
Student 85,2,3,2,2,3,3,4,3,5
Student 86,1,2,2,2,4,5,1,1,5
Student 87,3,3,1,1,5,3,1,2,5
Student 88,4,2,2,2,5,4,2,1,4
Student 89,2,2,2,2,2,5,1,1,5
Student 90,1,3,1,1,4,5,2,2,5
Student 91,2,2,2,1,3,2,5,5,2
Student 92,5,2,1,1,4,5,2,1,5
Student 93,3,2,4,2,5,4,1,1,5
Student 94,1,2,2,1,4,3,1,1,4
Student 95,1,3,4,5,5,3,1,1,5
Student 96,3,2,4,1,5,2,5,1,5
Student 97,2,2,1,4,4,5,2,1,2
Student 98,2,2,2,2,4,2,4,1,4
Student 99,1,3,1,1,5,5,1,2,4
Student 100,2,2,1,1,5,5,4,2,5
Student 101,2,2,2,1,4,5,2,1,4
Student 102,3,2,2,2,2,4,5,1,5
Student 103,2,2,1,3,3,3,5,2,3
Student 104,1,2,1,1,5,5,4,1,5
Student 105,5,3,1,1,4,5,4,1,3
Student 106,4,2,2,2,3,5,1,1,4
Student 107,2,2,2,1,1,4,5,2,5
Student 108,2,2,1,1,5,5,2,2,2
Student 109,4,3,1,2,2,4,4,1,4
Student 110,5,3,2,1,5,5,1,1,5
Student 111,4,2,1,1,4,4,4,3,5
Student 112,2,3,3,1,4,4,3,1,3
Student 113,3,2,2,4,4,3,2,2,4
Student 114,4,4,1,2,3,5,2,1,5
Student 115,2,2,3,2,3,2,1,1,3
Student 116,4,2,2,3,4,4,2,2,5
Student 117,3,3,1,3,3,3,3,5,3
Student 118,4,2,2,3,5,4,4,1,3
Student 119,2,3,2,2,4,4,3,2,4
Student 120,2,3,4,2,5,4,1,1,4
Student 121,3,2,1,1,4,5,5,2,4
Student 122,2,3,4,2,3,4,5,2,4
Student 123,2,2,1,2,5,4,1,2,5
Student 124,1,2,2,2,5,3,4,1,4
Student 125,2,2,2,2,5,4,5,1,3
Student 126,1,3,2,1,4,4,1,3,5
Student 127,1,3,1,1,4,2,1,2,3
Student 128,2,3,1,3,3,4,5,2,5
Student 129,2,3,4,1,1,4,5,2,4
Student 130,3,4,4,3,4,4,2,2,4
Student 131,2,3,1,1,3,3,5,5,4
Student 132,1,2,1,3,3,3,1,1,5
Student 133,4,4,1,1,4,4,1,1,4
Student 134,4,2,1,1,4,5,1,2,5
Student 135,4,4,1,3,3,3,5,1,4
Student 136,3,2,2,1,3,3,3,1,2
Student 137,5,3,3,2,3,3,5,5,5
Student 138,3,2,2,2,4,3,4,1,5
Student 139,1,2,2,2,2,5,5,1,5
Student 140,2,3,1,2,2,5,3,2,4
Student 141,3,3,2,2,2,5,1,2,5
Student 142,5,3,3,3,2,5,1,1,5
Student 143,2,2,1,2,5,5,1,1,5
Student 144,1,3,3,1,5,4,5,1,5
Student 145,1,2,2,3,2,4,5,2,3
Student 146,1,2,2,1,3,2,5,2,3
Student 147,5,3,1,1,1,3,2,1,4
Student 148,1,5,4,1,4,5,3,1,4
Student 149,1,3,4,4,4,4,5,1,5
Student 150,1,3,1,1,2,5,1,2,5
Student 151,1,4,3,2,3,4,5,3,5
Student 152,4,2,1,2,2,4,3,2,4
Student 153,2,2,1,1,3,5,2,1,3
Student 154,1,3,4,1,2,2,5,2,5
Student 155,4,4,3,1,2,4,2,2,5
Student 156,2,2,1,1,5,3,5,2,5
Student 157,2,4,3,3,3,3,5,5,3
Student 158,3,3,2,1,4,3,5,1,4
Student 159,2,3,2,2,5,5,2,1,5
Student 160,3,3,2,3,2,3,2,2,4
Student 161,1,5,4,5,4,2,5,5,4
Student 162,1,5,3,5,5,5,1,2,5
Student 163,3,2,2,3,4,4,3,1,2
Student 164,4,1,1,2,4,4,2,1,5
Student 165,1,4,1,1,4,2,3,2,5
Student 166,1,3,1,1,4,5,5,2,5
Student 167,1,2,2,1,5,5,1,1,5
Student 168,1,3,1,4,1,4,4,2,5
Student 169,2,2,2,5,5,3,2,1,5
Student 170,1,3,5,1,2,5,5,3,5
Student 171,1,3,2,1,5,2,5,3,5
Student 172,1,5,4,2,5,5,5,1,5
Student 173,2,3,2,2,4,3,3,3,5
Student 174,4,2,2,2,4,4,1,1,5
Student 175,4,5,1,4,3,4,4,2,4
Student 176,1,3,1,1,1,2,1,2,4
Student 177,1,3,2,2,3,3,3,2,4
Student 178,3,2,2,2,4,5,4,1,5
Student 179,2,2,1,2,3,3,2,2,3
Student 180,2,3,1,1,4,5,1,1,5
Student 181,4,2,2,2,3,4,1,1,4
Student 182,1,4,2,2,5,4,5,2,4
Student 183,1,2,2,1,4,4,4,2,5
Student 184,2,5,2,2,3,2,5,3,4
Student 185,5,5,1,1,5,5,1,1,5
Student 186,3,2,4,2,4,5,5,1,5
Student 187,1,3,2,1,1,5,3,5,5
Student 188,1,2,2,3,4,4,3,2,5
Student 189,3,3,1,1,3,5,5,3,5
Student 190,2,3,1,1,4,4,1,1,5
Student 191,2,3,2,2,3,5,3,1,4
Student 192,2,2,3,2,3,4,2,2,2
Student 193,1,3,2,1,3,4,5,1,4
Student 194,2,3,2,2,4,3,5,2,5
Student 195,4,2,2,2,4,5,2,1,5
Student 196,1,3,1,1,3,5,2,1,5
Student 197,1,2,2,1,3,4,4,2,5
Student 198,2,3,2,1,3,4,5,3,4
Student 199,2,2,4,2,5,5,1,1,5
Student 200,1,2,1,1,4,5,4,3,5
Student 201,2,3,2,3,2,2,5,1,5
Student 202,2,2,2,1,5,5,5,1,5
Student 203,5,3,1,1,5,5,5,1,4
Student 204,1,3,2,2,2,3,5,2,2
Student 205,2,1,1,2,5,4,1,1,5
Student 206,1,2,1,2,4,4,1,1,5
Student 207,5,2,4,2,5,4,1,1,5
Student 208,3,3,2,1,5,5,1,2,5
Student 209,2,3,4,2,3,3,5,1,3
Student 210,5,2,2,1,4,5,2,1,5
Student 211,4,3,2,2,3,4,5,2,4
Student 212,1,4,4,2,1,1,1,1,1
Student 213,2,2,2,2,5,3,5,2,5
Student 214,1,2,1,1,3,5,4,2,5
Student 215,4,2,1,1,5,5,5,4,2
Student 216,1,3,4,4,3,3,5,5,2
Student 217,1,2,3,2,5,5,4,1,5
Student 218,2,3,2,2,3,4,1,1,5
Student 219,3,2,1,1,4,5,5,2,4
Student 220,1,2,1,1,4,5,5,2,5
Student 221,1,4,1,1,4,3,3,2,5
Student 222,3,2,2,3,4,4,1,1,5
Student 223,2,4,2,2,3,4,4,2,5
Student 224,3,3,1,3,4,5,5,2,5
Student 225,1,2,1,5,5,5,1,1,5
Student 226,2,3,1,1,3,4,5,5,3
Student 227,1,3,2,4,3,5,2,1,5
Student 228,3,3,1,2,3,4,1,1,5
Student 229,3,3,2,2,4,4,5,1,3
Student 230,2,3,2,2,5,5,1,1,5
Student 231,4,2,2,1,4,4,2,1,5
Student 232,2,3,2,2,4,3,3,2,4
Student 233,1,2,2,1,4,5,5,1,5
Student 234,2,3,4,2,4,4,3,1,4
Student 235,5,2,3,1,3,4,4,2,4
Student 236,3,2,2,2,5,3,4,1,4
Student 237,3,3,2,2,3,5,1,1,2
Student 238,2,3,2,2,5,5,1,1,5
Student 239,3,2,2,2,4,5,1,1,4
Student 240,2,3,1,2,4,5,5,2,4
Student 241,2,2,1,1,2,4,4,1,5
Student 242,1,2,1,1,3,4,5,2,3
Student 243,1,3,1,1,2,2,4,2,4
Student 244,2,2,4,4,3,4,4,1,5
Student 245,2,3,1,1,4,4,2,3,4
Student 246,1,3,2,4,3,5,5,3,5
Student 247,2,3,2,2,3,5,1,2,5
Student 248,1,3,1,1,3,4,5,2,5
Student 249,4,2,1,2,4,5,1,1,5
Student 250,2,2,2,2,5,5,1,1,5
Student 251,4,4,1,3,3,5,2,1,5
Student 252,4,2,4,4,3,2,4,2,5
Student 253,3,3,2,2,4,5,3,1,3
Student 254,4,3,2,1,5,4,1,1,4
Student 255,2,2,4,4,4,4,5,1,2
Student 256,1,5,1,2,4,5,3,2,5
Student 257,4,2,4,1,4,5,2,2,5
Student 258,2,2,2,1,5,5,2,1,5
Student 259,2,3,1,2,5,5,1,1,5
Student 260,1,2,2,1,5,5,3,1,5
Student 261,1,4,1,2,3,4,5,2,4
Student 262,2,2,2,2,3,5,3,2,5
Student 263,1,3,1,2,4,5,5,1,4
Student 264,2,3,2,2,4,2,5,2,5
Student 265,2,2,3,2,4,2,5,2,4
Student 266,2,3,1,1,5,5,1,1,3
Student 267,1,2,1,1,3,4,5,5,5
Student 268,2,3,2,2,5,5,5,1,3
Student 269,2,3,2,1,4,4,4,3,3
Student 270,4,3,2,2,2,5,4,1,5
Student 271,4,2,2,2,1,3,5,1,4
Student 272,2,3,2,1,4,3,5,1,4
Student 273,3,2,1,1,3,5,2,1,4
Student 274,4,3,5,2,4,4,1,1,5
Student 275,4,2,1,1,4,5,5,2,5
Student 276,1,3,4,2,2,3,3,1,5
Student 277,4,2,2,1,4,5,1,2,5
Student 278,5,2,1,1,4,5,1,1,5
Student 279,2,2,3,1,4,5,1,1,5
Student 280,1,2,1,1,2,5,5,2,5
Student 281,5,2,1,1,5,5,2,1,5
Student 282,2,3,2,1,2,4,5,5,5
Student 283,1,3,3,2,3,4,2,1,4
Student 284,1,4,1,1,5,4,1,1,5
Student 285,2,2,2,2,1,2,5,2,2
Student 286,3,3,2,2,2,3,5,4,4
Student 287,5,2,1,1,5,5,2,1,5
Student 288,5,2,5,1,4,5,1,1,5
Student 289,2,3,2,1,3,4,5,2,3
Student 290,4,2,1,1,3,3,5,2,4
Student 291,5,3,2,1,4,4,3,3,5
Student 292,4,3,2,2,1,2,5,3,5
Student 293,1,5,1,1,4,3,5,1,5
Student 294,3,3,1,2,5,5,3,2,5
Student 295,1,3,2,1,4,2,5,1,5
Student 296,1,3,4,2,2,5,5,5,3
Student 297,2,3,2,1,3,5,4,2,5
Student 298,2,4,3,1,3,5,1,1,2
Student 299,5,4,1,2,4,4,2,1,3
Student 300,5,3,2,2,4,5,3,2,5
Student 301,4,3,4,3,4,3,2,2,4
Student 302,2,3,1,2,4,2,5,1,5
Student 303,4,2,4,2,3,5,3,2,4
Student 304,5,3,1,1,2,5,5,2,4
Student 305,4,3,1,3,5,5,2,1,5
Student 306,2,2,2,1,3,2,3,1,4
Student 307,3,3,2,2,3,3,1,1,2
Student 308,4,3,2,1,4,4,3,2,4
Student 309,3,3,2,2,5,5,5,2,4
Student 310,1,2,3,1,4,3,2,1,5
Student 311,2,3,1,1,3,5,2,2,5
Student 312,2,3,2,5,3,2,5,4,4
Student 313,5,1,1,1,5,5,2,1,3
Student 314,2,3,1,3,5,5,3,1,5
Student 315,2,3,2,2,5,5,3,1,5
Student 316,1,2,3,1,2,4,5,4,5
Student 317,5,3,1,1,5,4,5,3,5
Student 318,1,5,1,1,5,5,1,1,4
Student 319,4,2,3,3,5,5,3,1,4
Student 320,3,3,1,1,3,5,2,2,5
Student 321,2,3,4,1,5,5,2,1,5
Student 322,5,2,2,1,4,4,4,1,5
Student 323,4,2,2,2,4,3,4,1,3
Student 324,3,2,4,3,4,4,4,2,4
Student 325,2,2,4,4,3,4,5,1,5
Student 326,4,3,2,1,4,5,2,1,4
Student 327,2,3,2,1,3,5,2,2,4
Student 328,1,4,2,2,1,5,3,3,4
Student 329,2,3,4,2,3,4,5,2,4
Student 330,3,1,1,1,3,4,5,1,5
Student 331,1,3,1,1,1,3,5,4,4
Student 332,2,2,3,2,4,4,2,2,4
Student 333,2,3,2,1,3,5,4,1,5
Student 334,3,3,1,1,4,4,4,2,5
Student 335,2,3,1,2,4,3,5,1,2
Student 336,2,2,4,1,5,4,2,1,5
Student 337,1,3,2,2,3,4,5,2,5
Student 338,1,2,1,1,5,4,3,2,3
Student 339,2,3,2,1,3,5,5,2,3
Student 340,4,3,2,1,4,5,3,1,5
Student 341,4,2,2,1,4,5,2,1,2
Student 342,3,2,1,1,4,5,2,1,5
Student 343,2,2,1,3,3,3,2,1,5
Student 344,2,3,1,2,3,5,5,2,4
Student 345,1,2,1,1,5,5,1,1,5
Student 346,3,2,1,2,3,4,3,2,5
Student 347,5,2,2,1,5,5,2,1,4
Student 348,5,2,3,3,5,5,2,1,5
Student 349,2,3,3,1,4,3,2,1,5
Student 350,3,2,1,1,5,5,1,1,3
Student 351,3,2,1,1,4,5,3,2,5
Student 352,3,5,2,2,4,4,5,5,4
Student 353,2,2,1,1,5,4,1,2,5
Student 354,5,2,3,3,4,2,5,1,5
Student 355,2,3,2,2,4,1,5,2,5
Student 356,2,3,1,1,3,4,5,3,5
Student 357,2,3,2,2,4,3,5,2,4
Student 358,3,3,3,2,3,5,5,2,4
Student 359,3,3,2,2,3,4,5,1,5
Student 360,3,2,2,2,3,3,2,2,4
Student 361,2,2,2,1,5,4,5,3,5
Student 362,2,2,2,2,2,3,5,1,4
Student 363,4,3,4,2,4,3,5,5,4
Student 364,3,2,2,1,4,4,5,3,4
Student 365,3,2,1,2,4,3,4,1,5
Student 366,3,3,2,2,4,5,3,3,4
Student 367,2,3,2,3,2,3,2,1,4
Student 368,4,2,2,2,4,4,4,5,5
Student 369,2,4,2,2,1,4,5,1,5
Student 370,2,2,2,2,4,3,4,1,3
Student 371,3,2,1,1,4,5,5,3,5
Student 372,4,2,2,2,4,4,3,1,5
Student 373,2,2,1,3,2,3,2,1,4
Student 374,4,2,3,2,4,5,1,1,5
Student 375,3,3,2,2,4,5,1,4,4
Student 376,5,1,4,1,5,5,1,1,5
Student 377,5,2,3,2,5,5,1,1,5
Student 378,2,3,2,2,4,3,5,3,5
Student 379,1,3,3,2,4,4,3,3,4
Student 380,2,3,2,3,4,4,4,2,5
Student 381,5,2,1,1,3,3,1,2,5
Student 382,4,4,1,1,1,5,2,1,5
Student 383,2,4,1,1,4,3,5,2,4
Student 384,3,3,2,5,1,5,2,1,5
Student 385,4,2,4,1,5,5,5,2,4
Student 386,3,2,2,1,5,5,2,1,5
Student 387,4,3,2,3,3,4,4,3,3
Student 388,3,2,2,2,4,5,4,2,5
Student 389,4,3,2,4,2,2,2,1,4
Student 390,4,2,2,2,4,4,5,5,4
Student 391,1,4,2,4,3,4,5,2,4
Student 392,2,3,1,2,4,3,4,2,5
Student 393,2,2,1,1,3,3,5,3,4
Student 394,1,3,1,1,5,5,2,1,5
Student 395,5,3,1,1,4,3,5,2,4
Student 396,3,3,4,1,3,2,5,2,5
Student 397,4,3,2,1,3,3,3,1,5
Student 398,1,3,1,2,3,5,4,2,5
Student 399,4,3,1,1,4,5,4,3,4
Student 400,2,5,1,1,5,3,5,1,3
Student 401,2,2,2,1,3,5,2,1,5
Student 402,3,3,3,1,1,4,5,2,5
Student 403,1,3,1,1,3,4,5,2,5
Student 404,2,3,2,1,4,4,1,2,5
Student 405,3,3,1,2,4,3,3,2,4
Student 406,3,2,3,1,4,3,5,1,4
Student 407,3,2,2,2,2,5,1,1,5
Student 408,4,3,4,1,3,4,5,2,3
Student 409,1,3,2,2,3,3,5,3,4
Student 410,2,2,4,1,4,4,2,1,5
Student 411,4,3,2,1,4,4,1,1,5
Student 412,1,3,2,2,4,4,5,2,4
Student 413,2,2,2,2,4,5,5,2,5
Student 414,4,3,2,1,4,4,4,2,5
Student 415,2,2,3,2,4,3,2,1,5
Student 416,3,2,3,2,4,4,5,1,5
Student 417,4,2,4,2,5,4,1,2,3
Student 418,5,2,1,1,2,4,3,1,4
Student 419,1,4,1,1,2,2,3,2,4
Student 420,3,2,2,3,3,5,5,1,3
Student 421,2,3,1,2,3,4,5,2,5
Student 422,2,3,1,2,3,4,5,2,4
Student 423,1,3,3,2,4,5,4,1,5
Student 424,4,3,1,1,4,4,3,1,5
Student 425,2,3,2,1,3,5,3,1,5
Student 426,3,3,1,1,4,4,4,2,3
Student 427,1,3,1,2,4,2,5,2,5
Student 428,3,3,4,2,2,2,5,2,4
Student 429,2,5,2,1,5,5,5,3,5
Student 430,2,3,2,3,5,3,4,2,4
Student 431,1,2,1,2,3,5,5,2,1
Student 432,5,2,1,2,4,5,5,1,4
Student 433,5,2,1,1,3,3,1,2,5
Student 434,2,3,2,1,4,4,4,2,5
Student 435,5,4,4,3,2,5,5,3,4
Student 436,3,2,1,1,3,2,5,2,5
Student 437,3,2,2,1,3,4,5,2,5
Student 438,2,3,2,4,4,3,3,2,5
Student 439,2,3,2,1,3,1,5,1,5
Student 440,4,2,1,1,3,5,5,2,5
Student 441,3,2,1,2,4,5,5,2,5
Student 442,1,2,2,2,2,4,5,2,5
Student 443,2,3,2,2,4,2,5,1,4
Student 444,1,2,2,2,3,4,4,1,5
Student 445,4,4,2,4,2,3,4,3,3
Student 446,1,3,1,1,4,3,5,5,4
Student 447,4,2,2,2,3,4,1,1,3
Student 448,2,3,2,1,3,5,3,1,4
Student 449,2,2,1,1,2,4,5,2,5
Student 450,2,3,2,2,4,2,4,2,5
Student 451,4,3,2,4,2,3,5,2,5
Student 452,1,3,2,1,4,4,5,1,5
Student 453,4,2,1,2,4,5,2,2,4
Student 454,3,3,1,1,3,5,3,3,5
Student 455,4,3,2,3,4,2,5,1,4
Student 456,4,3,2,1,3,4,3,3,5
Student 457,3,3,2,2,1,2,4,2,3
Student 458,2,2,1,3,3,4,3,2,4
Student 459,2,4,1,2,3,4,4,1,4
Student 460,1,2,1,2,3,4,4,1,4
Student 461,1,3,1,1,2,2,1,1,4
Student 462,3,3,1,1,5,5,4,2,5
Student 463,3,2,1,1,3,4,2,1,5
Student 464,4,3,2,3,3,4,3,3,4
Student 465,3,3,1,2,3,4,1,1,2
Student 466,1,5,1,1,3,2,5,2,5
Student 467,1,3,1,1,4,4,5,5,4
Student 468,4,4,5,5,3,3,4,4,5
Student 469,3,1,3,3,2,3,1,1,3
Student 470,2,3,2,2,2,5,5,1,3
Student 471,1,2,1,1,5,4,5,1,5
Student 472,3,5,1,2,4,4,5,2,4
Student 473,1,2,2,2,1,3,2,1,4
Student 474,4,3,2,3,2,2,2,2,3
Student 475,3,2,1,1,3,4,5,1,5
Student 476,3,4,2,2,4,4,1,1,5
Student 477,2,2,1,2,4,5,5,1,5
Student 478,2,2,1,1,4,5,5,1,5
Student 479,4,2,1,1,5,5,5,2,5
Student 480,2,2,1,1,3,4,4,2,4
Student 481,4,2,1,4,2,2,3,2,3
Student 482,1,3,2,2,2,4,3,2,5
Student 483,5,3,1,1,5,5,1,1,5
Student 484,1,2,4,2,2,5,3,3,5
Student 485,2,3,1,1,5,5,5,2,5
Student 486,4,2,4,1,4,4,2,2,5
Student 487,2,2,2,2,5,2,5,1,2
Student 488,4,2,2,1,3,5,2,2,4
Student 489,5,2,1,1,5,5,1,1,5
Student 490,5,2,1,1,5,5,1,1,5
Student 491,1,2,4,2,5,5,2,2,4
Student 492,2,2,2,2,3,5,1,1,3
Student 493,5,1,1,1,5,4,1,2,5
Student 494,1,3,1,1,4,4,1,1,5
Student 495,3,3,2,1,3,3,5,2,4
Student 496,1,1,1,1,5,4,1,1,5
Student 497,5,1,1,1,5,5,1,1,5
Student 498,3,2,2,1,3,4,3,2,5
Student 499,2,4,2,2,3,4,3,2,5
Student 500,2,3,3,1,3,5,4,1,5
Student 501,1,2,1,1,4,4,1,1,4
Student 502,2,2,2,2,5,5,4,1,5
Student 503,3,2,2,2,4,3,3,1,4
Student 504,1,3,2,2,4,5,3,1,5
Student 505,3,2,1,1,5,5,2,1,5
Student 506,3,2,1,1,3,5,5,2,5
Student 507,1,3,1,2,4,5,3,2,5
Student 508,4,2,1,2,3,4,5,1,5
Student 509,2,4,1,3,3,3,2,1,4
Student 510,2,2,5,3,4,4,4,2,5
Student 511,2,3,2,2,3,2,3,3,3
Student 512,2,2,4,2,3,4,5,2,5
Student 513,5,3,2,2,3,4,2,1,4
Student 514,2,3,3,4,4,5,3,1,4
Student 515,1,2,5,1,4,4,1,1,3
Student 516,1,2,1,1,3,5,5,3,5
Student 517,2,3,1,1,4,4,2,2,5
Student 518,1,3,1,1,3,4,1,1,5
Student 519,1,3,5,2,3,4,5,1,4
Student 520,4,3,1,2,2,4,1,1,2
Student 521,3,2,1,2,4,2,5,5,3
Student 522,2,2,1,1,4,4,5,1,5
Student 523,1,3,2,2,5,3,4,1,5
Student 524,1,2,1,1,1,5,1,1,5
Student 525,2,3,2,2,3,3,5,2,5
Student 526,2,3,2,4,4,5,5,1,5
Student 527,4,3,1,1,4,3,5,2,5
Student 528,2,3,1,2,4,2,3,1,5
Student 529,1,2,2,2,4,3,5,1,5
Student 530,4,4,1,1,3,5,4,1,4
Student 531,2,4,1,2,1,3,2,3,4
Student 532,2,3,2,1,2,5,4,2,3
Student 533,2,1,1,2,5,5,2,1,4
Student 534,1,3,1,1,4,4,2,2,4
Student 535,1,2,1,1,3,5,3,1,4
Student 536,2,3,4,2,3,2,5,1,4
Student 537,1,3,1,3,3,5,5,2,2
Student 538,2,3,2,2,3,4,4,3,4
Student 539,5,4,1,2,5,4,1,1,5
Student 540,3,3,2,3,3,4,5,1,5
Student 541,2,3,2,2,4,2,5,5,5
Student 542,4,3,2,2,2,5,5,2,5
Student 543,4,2,4,1,3,4,5,3,4
Student 544,1,4,2,3,4,5,1,1,4
Student 545,2,4,1,1,5,1,5,1,5
Student 546,1,3,3,3,4,4,4,1,4
Student 547,3,2,1,2,3,3,2,2,5
Student 548,2,2,3,2,5,4,3,2,4
Student 549,2,2,1,2,3,4,4,1,5
Student 550,2,2,1,1,4,3,4,1,5
Student 551,2,2,2,2,3,4,5,4,4
Student 552,3,2,1,2,3,4,4,1,4
Student 553,2,2,1,1,4,4,2,1,5
Student 554,4,5,3,1,4,5,4,5,5
Student 555,4,3,3,4,4,3,5,2,3
Student 556,3,3,2,2,4,5,4,2,5
Student 557,2,2,2,3,5,4,1,1,4
Student 558,1,5,2,3,2,2,5,2,5
Student 559,4,3,2,2,4,5,2,2,5
Student 560,2,3,2,1,2,4,5,3,5
Student 561,3,2,3,4,3,4,4,2,5
Student 562,2,2,4,1,4,5,3,1,4
Student 563,1,3,1,1,4,4,2,1,2
Student 564,2,4,2,1,3,3,5,5,5
Student 565,3,3,2,2,5,4,3,2,3
Student 566,4,2,2,1,5,5,1,1,5
Student 567,3,3,4,4,2,4,4,2,5
Student 568,2,3,2,1,4,5,5,2,4
Student 569,2,2,1,2,4,5,5,1,5
Student 570,3,2,1,2,3,2,5,4,2
Student 571,2,3,5,4,3,2,4,2,4
Student 572,1,2,3,2,4,3,4,1,5
Student 573,3,1,1,2,4,5,1,1,5
Student 574,5,2,3,2,5,4,2,2,4
Student 575,2,4,2,1,3,2,5,2,4
Student 576,3,2,1,2,5,3,5,2,5
Student 577,3,3,1,2,3,4,4,1,4
Student 578,4,3,2,2,4,4,5,2,4
Student 579,1,3,1,2,3,3,1,2,5
Student 580,3,2,1,1,3,3,2,2,5
Student 581,2,3,3,1,3,5,2,3,5
Student 582,2,2,2,1,3,3,4,2,4
Student 583,1,4,4,2,4,4,2,1,4
Student 584,4,2,2,2,5,5,4,1,4
Student 585,1,2,1,2,5,4,1,2,4
Student 586,5,5,2,1,3,5,1,1,5
Student 587,1,2,2,2,2,2,5,2,4
Student 588,5,3,1,1,3,5,5,1,3
Student 589,2,2,1,1,5,4,5,3,4
Student 590,1,2,1,1,3,4,3,1,4
Student 591,1,3,4,2,4,5,2,1,5
Student 592,2,2,1,4,4,1,4,1,4
Student 593,3,3,1,2,4,2,5,5,4
Student 594,2,3,5,2,3,2,5,1,5
Student 595,1,2,1,2,5,4,1,1,5
Student 596,1,3,1,1,5,5,5,5,4
Student 597,1,2,2,2,3,5,2,2,5
Student 598,4,2,1,1,5,5,1,1,5
Student 599,4,3,1,1,3,3,4,1,5
Student 600,4,3,1,1,3,3,5,2,4
Student 601,2,2,2,2,4,4,2,1,2
