Student ID,Clickjacking,Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends","Number of 
Groups","Click on 
Unknown
Link "
Student 50,3,3,2,1,3,3,5,2,3
Student 51,4,3,1,1,4,5,2,3,5
Student 52,4,3,3,2,3,4,1,1,4
Student 53,3,3,5,1,4,5,2,1,5
Student 54,4,2,1,3,2,3,2,3,4
Student 55,1,3,1,1,3,5,5,1,5
Student 56,4,3,1,1,5,5,1,2,5
Student 57,4,2,2,3,3,5,3,2,5
Student 58,3,2,4,2,5,4,5,1,4
Student 59,3,2,5,3,1,5,3,2,5
Student 60,2,2,3,2,4,5,4,2,5
Student 61,2,4,2,2,2,3,3,2,3
Student 62,3,2,2,2,4,4,5,1,5
Student 63,2,2,2,1,4,5,3,1,2
Student 64,4,3,4,2,3,2,3,1,5
Student 65,4,3,1,1,3,5,2,5,4
Student 66,4,3,1,2,3,2,5,2,5
Student 67,5,4,1,1,3,4,4,3,3
Student 68,4,3,2,2,4,3,2,1,5
Student 69,1,5,1,4,4,4,1,1,2
Student 70,3,3,2,2,3,4,5,4,3
Student 71,3,2,1,4,4,5,1,1,4
Student 72,2,3,1,1,5,5,1,1,3
Student 73,4,5,1,1,2,4,4,2,4
Student 74,3,5,1,1,1,1,5,2,3
Student 75,3,2,2,2,3,5,1,1,5
Student 76,5,2,1,1,2,4,5,5,5
Student 77,2,3,3,3,3,1,5,5,4
Student 78,3,3,1,1,5,4,3,1,4
Student 79,4,3,4,1,5,3,1,1,5
Student 80,4,3,1,2,4,4,5,2,4
Student 81,3,4,1,1,3,4,4,2,4
Student 82,4,3,2,2,3,2,1,1,5
Student 83,4,3,3,4,3,4,2,2,4
Student 84,3,2,3,2,4,4,2,1,4
Student 85,3,3,2,2,3,3,4,3,5
Student 86,3,2,2,2,4,5,1,1,5
Student 87,5,3,1,1,5,3,1,2,5
Student 88,4,2,2,2,5,4,2,1,4
Student 89,4,2,2,2,2,5,1,1,5
Student 90,3,3,1,1,4,5,2,2,5
Student 91,3,2,2,1,3,2,5,5,2
Student 92,4,2,1,1,4,5,2,1,5
Student 93,3,2,4,2,5,4,1,1,5
Student 94,3,2,2,1,4,3,1,1,4
Student 95,5,3,4,5,5,3,1,1,5
Student 96,3,2,4,1,5,2,5,1,5
Student 97,2,2,1,4,4,5,2,1,2
Student 98,4,2,2,2,4,2,4,1,4
Student 99,4,3,1,1,5,5,1,2,4
Student 100,5,2,1,1,5,5,4,2,5
Student 101,4,2,2,1,4,5,2,1,4
Student 102,4,2,2,2,2,4,5,1,5
Student 103,3,2,1,3,3,3,5,2,3
Student 104,2,2,1,1,5,5,4,1,5
Student 105,3,3,1,1,4,5,4,1,3
Student 106,3,2,2,2,3,5,1,1,4
Student 107,3,2,2,1,1,4,5,2,5
Student 108,2,2,1,1,5,5,2,2,2
Student 109,3,3,1,2,2,4,4,1,4
Student 110,5,3,2,1,5,5,1,1,5
Student 111,2,2,1,1,4,4,4,3,5
Student 112,3,3,3,1,4,4,3,1,3
Student 113,4,2,2,4,4,3,2,2,4
Student 114,3,4,1,2,3,5,2,1,5
Student 115,4,2,3,2,3,2,1,1,3
Student 116,3,2,2,3,4,4,2,2,5
Student 117,2,3,1,3,3,3,3,5,3
Student 118,3,2,2,3,5,4,4,1,3
Student 119,3,3,2,2,4,4,3,2,4
Student 120,2,3,4,2,5,4,1,1,4
Student 121,3,2,1,1,4,5,5,2,4
Student 122,4,3,4,2,3,4,5,2,4
Student 123,4,2,1,2,5,4,1,2,5
Student 124,3,2,2,2,5,3,4,1,4
Student 125,3,2,2,2,5,4,5,1,3
Student 126,4,3,2,1,4,4,1,3,5
Student 127,2,3,1,1,4,2,1,2,3
Student 128,4,3,1,3,3,4,5,2,5
Student 129,3,3,4,1,1,4,5,2,4
Student 130,4,4,4,3,4,4,2,2,4
Student 131,3,3,1,1,3,3,5,5,4
Student 132,4,2,1,3,3,3,1,1,5
Student 133,3,4,1,1,4,4,1,1,4
Student 134,4,2,1,1,4,5,1,2,5
Student 135,3,4,1,3,3,3,5,1,4
Student 136,2,2,2,1,3,3,3,1,2
Student 137,4,3,3,2,3,3,5,5,5
Student 138,3,2,2,2,4,3,4,1,5
Student 139,2,2,2,2,2,5,5,1,5
Student 140,3,3,1,2,2,5,3,2,4
Student 141,5,3,2,2,2,5,1,2,5
Student 142,5,3,3,3,2,5,1,1,5
Student 143,4,2,1,2,5,5,1,1,5
Student 144,5,3,3,1,5,4,5,1,5
Student 145,2,2,2,3,2,4,5,2,3
Student 146,2,2,2,1,3,2,5,2,3
Student 147,1,3,1,1,1,3,2,1,4
Student 148,2,5,4,1,4,5,3,1,4
Student 149,2,3,4,4,4,4,5,1,5
Student 150,1,3,1,1,2,5,1,2,5
Student 151,4,4,3,2,3,4,5,3,5
Student 152,3,2,1,2,2,4,3,2,4
Student 153,3,2,1,1,3,5,2,1,3
Student 154,3,3,4,1,2,2,5,2,5
Student 155,4,4,3,1,2,4,2,2,5
Student 156,5,2,1,1,5,3,5,2,5
Student 157,2,4,3,3,3,3,5,5,3
Student 158,5,3,2,1,4,3,5,1,4
Student 159,5,3,2,2,5,5,2,1,5
Student 160,4,3,2,3,2,3,2,2,4
Student 161,2,5,4,5,4,2,5,5,4
Student 162,5,5,3,5,5,5,1,2,5
Student 163,2,2,2,3,4,4,3,1,2
Student 164,4,1,1,2,4,4,2,1,5
Student 165,4,4,1,1,4,2,3,2,5
Student 166,5,3,1,1,4,5,5,2,5
Student 167,2,2,2,1,5,5,1,1,5
Student 168,3,3,1,4,1,4,4,2,5
Student 169,5,2,2,5,5,3,2,1,5
Student 170,5,3,5,1,2,5,5,3,5
Student 171,2,3,2,1,5,2,5,3,5
Student 172,4,5,4,2,5,5,5,1,5
Student 173,3,3,2,2,4,3,3,3,5
Student 174,4,2,2,2,4,4,1,1,5
Student 175,4,5,1,4,3,4,4,2,4
Student 176,1,3,1,1,1,2,1,2,4
Student 177,3,3,2,2,3,3,3,2,4
Student 178,5,2,2,2,4,5,4,1,5
Student 179,3,2,1,2,3,3,2,2,3
Student 180,1,3,1,1,4,5,1,1,5
Student 181,4,2,2,2,3,4,1,1,4
Student 182,2,4,2,2,5,4,5,2,4
Student 183,3,2,2,1,4,4,4,2,5
Student 184,3,5,2,2,3,2,5,3,4
Student 185,5,5,1,1,5,5,1,1,5
Student 186,4,2,4,2,4,5,5,1,5
Student 187,5,3,2,1,1,5,3,5,5
Student 188,4,2,2,3,4,4,3,2,5
Student 189,3,3,1,1,3,5,5,3,5
Student 190,4,3,1,1,4,4,1,1,5
Student 191,3,3,2,2,3,5,3,1,4
Student 192,3,2,3,2,3,4,2,2,2
Student 193,3,3,2,1,3,4,5,1,4
Student 194,3,3,2,2,4,3,5,2,5
Student 195,3,2,2,2,4,5,2,1,5
Student 196,4,3,1,1,3,5,2,1,5
Student 197,5,2,2,1,3,4,4,2,5
Student 198,2,3,2,1,3,4,5,3,4
Student 199,3,2,4,2,5,5,1,1,5
Student 200,3,2,1,1,4,5,4,3,5
Student 201,4,3,2,3,2,2,5,1,5
Student 202,4,2,2,1,5,5,5,1,5
Student 203,5,3,1,1,5,5,5,1,4
Student 204,3,3,2,2,2,3,5,2,2
Student 205,4,1,1,2,5,4,1,1,5
Student 206,2,2,1,2,4,4,1,1,5
Student 207,3,2,4,2,5,4,1,1,5
Student 208,3,3,2,1,5,5,1,2,5
Student 209,2,3,4,2,3,3,5,1,3
Student 210,5,2,2,1,4,5,2,1,5
Student 211,3,3,2,2,3,4,5,2,4
Student 212,2,4,4,2,1,1,1,1,1
Student 213,4,2,2,2,5,3,5,2,5
Student 214,1,2,1,1,3,5,4,2,5
Student 215,3,2,1,1,5,5,5,4,2
Student 216,2,3,4,4,3,3,5,5,2
Student 217,5,2,3,2,5,5,4,1,5
Student 218,5,3,2,2,3,4,1,1,5
Student 219,4,2,1,1,4,5,5,2,4
Student 220,3,2,1,1,4,5,5,2,5
Student 221,1,4,1,1,4,3,3,2,5
Student 222,3,2,2,3,4,4,1,1,5
Student 223,3,4,2,2,3,4,4,2,5
Student 224,3,3,1,3,4,5,5,2,5
Student 225,2,2,1,5,5,5,1,1,5
Student 226,2,3,1,1,3,4,5,5,3
Student 227,2,3,2,4,3,5,2,1,5
Student 228,4,3,1,2,3,4,1,1,5
Student 229,3,3,2,2,4,4,5,1,3
Student 230,3,3,2,2,5,5,1,1,5
Student 231,5,2,2,1,4,4,2,1,5
Student 232,4,3,2,2,4,3,3,2,4
Student 233,4,2,2,1,4,5,5,1,5
Student 234,3,3,4,2,4,4,3,1,4
Student 235,4,2,3,1,3,4,4,2,4
Student 236,3,2,2,2,5,3,4,1,4
Student 237,2,3,2,2,3,5,1,1,2
Student 238,4,3,2,2,5,5,1,1,5
Student 239,3,2,2,2,4,5,1,1,4
Student 240,4,3,1,2,4,5,5,2,4
Student 241,5,2,1,1,2,4,4,1,5
Student 242,2,2,1,1,3,4,5,2,3
Student 243,4,3,1,1,2,2,4,2,4
Student 244,4,2,4,4,3,4,4,1,5
Student 245,4,3,1,1,4,4,2,3,4
Student 246,3,3,2,4,3,5,5,3,5
Student 247,3,3,2,2,3,5,1,2,5
Student 248,3,3,1,1,3,4,5,2,5
Student 249,5,2,1,2,4,5,1,1,5
Student 250,5,2,2,2,5,5,1,1,5
Student 251,3,4,1,3,3,5,2,1,5
Student 252,3,2,4,4,3,2,4,2,5
Student 253,3,3,2,2,4,5,3,1,3
Student 254,2,3,2,1,5,4,1,1,4
Student 255,3,2,4,4,4,4,5,1,2
Student 256,3,5,1,2,4,5,3,2,5
Student 257,5,2,4,1,4,5,2,2,5
Student 258,2,2,2,1,5,5,2,1,5
Student 259,5,3,1,2,5,5,1,1,5
Student 260,3,2,2,1,5,5,3,1,5
Student 261,3,4,1,2,3,4,5,2,4
Student 262,4,2,2,2,3,5,3,2,5
Student 263,4,3,1,2,4,5,5,1,4
Student 264,3,3,2,2,4,2,5,2,5
Student 265,3,2,3,2,4,2,5,2,4
Student 266,2,3,1,1,5,5,1,1,3
Student 267,3,2,1,1,3,4,5,5,5
Student 268,3,3,2,2,5,5,5,1,3
Student 269,3,3,2,1,4,4,4,3,3
Student 270,3,3,2,2,2,5,4,1,5
Student 271,4,2,2,2,1,3,5,1,4
Student 272,4,3,2,1,4,3,5,1,4
Student 273,4,2,1,1,3,5,2,1,4
Student 274,5,3,5,2,4,4,1,1,5
Student 275,4,2,1,1,4,5,5,2,5
Student 276,5,3,4,2,2,3,3,1,5
Student 277,4,2,2,1,4,5,1,2,5
Student 278,5,2,1,1,4,5,1,1,5
Student 279,5,2,3,1,4,5,1,1,5
Student 280,2,2,1,1,2,5,5,2,5
Student 281,5,2,1,1,5,5,2,1,5
Student 282,5,3,2,1,2,4,5,5,5
Student 283,4,3,3,2,3,4,2,1,4
Student 284,1,4,1,1,5,4,1,1,5
Student 285,3,2,2,2,1,2,5,2,2
Student 286,3,3,2,2,2,3,5,4,4
Student 287,4,2,1,1,5,5,2,1,5
Student 288,5,2,5,1,4,5,1,1,5
Student 289,3,3,2,1,3,4,5,2,3
Student 290,3,2,1,1,3,3,5,2,4
Student 291,5,3,2,1,4,4,3,3,5
Student 292,3,3,2,2,1,2,5,3,5
Student 293,3,5,1,1,4,3,5,1,5
Student 294,4,3,1,2,5,5,3,2,5
Student 295,4,3,2,1,4,2,5,1,5
Student 296,3,3,4,2,2,5,5,5,3
Student 297,4,3,2,1,3,5,4,2,5
Student 298,3,4,3,1,3,5,1,1,2
Student 299,2,4,1,2,4,4,2,1,3
Student 300,2,3,2,2,4,5,3,2,5
Student 301,4,3,4,3,4,3,2,2,4
Student 302,4,3,1,2,4,2,5,1,5
Student 303,3,2,4,2,3,5,3,2,4
Student 304,2,3,1,1,2,5,5,2,4
Student 305,3,3,1,3,5,5,2,1,5
Student 306,3,2,2,1,3,2,3,1,4
Student 307,3,3,2,2,3,3,1,1,2
Student 308,3,3,2,1,4,4,3,2,4
Student 309,3,3,2,2,5,5,5,2,4
Student 310,5,2,3,1,4,3,2,1,5
Student 311,4,3,1,1,3,5,2,2,5
Student 312,3,3,2,5,3,2,5,4,4
Student 313,3,1,1,1,5,5,2,1,3
Student 314,3,3,1,3,5,5,3,1,5
Student 315,5,3,2,2,5,5,3,1,5
Student 316,4,2,3,1,2,4,5,4,5
Student 317,3,3,1,1,5,4,5,3,5
Student 318,5,5,1,1,5,5,1,1,4
Student 319,4,2,3,3,5,5,3,1,4
Student 320,3,3,1,1,3,5,2,2,5
Student 321,4,3,4,1,5,5,2,1,5
Student 322,3,2,2,1,4,4,4,1,5
Student 323,3,2,2,2,4,3,4,1,3
Student 324,2,2,4,3,4,4,4,2,4
Student 325,3,2,4,4,3,4,5,1,5
Student 326,4,3,2,1,4,5,2,1,4
Student 327,2,3,2,1,3,5,2,2,4
Student 328,2,4,2,2,1,5,3,3,4
Student 329,4,3,4,2,3,4,5,2,4
Student 330,3,1,1,1,3,4,5,1,5
Student 331,2,3,1,1,1,3,5,4,4
Student 332,4,2,3,2,4,4,2,2,4
Student 333,3,3,2,1,3,5,4,1,5
Student 334,4,3,1,1,4,4,4,2,5
Student 335,2,3,1,2,4,3,5,1,2
Student 336,3,2,4,1,5,4,2,1,5
Student 337,3,3,2,2,3,4,5,2,5
Student 338,3,2,1,1,5,4,3,2,3
Student 339,3,3,2,1,3,5,5,2,3
Student 340,3,3,2,1,4,5,3,1,5
Student 341,3,2,2,1,4,5,2,1,2
Student 342,3,2,1,1,4,5,2,1,5
Student 343,3,2,1,3,3,3,2,1,5
Student 344,3,3,1,2,3,5,5,2,4
Student 345,4,2,1,1,5,5,1,1,5
Student 346,3,2,1,2,3,4,3,2,5
Student 347,4,2,2,1,5,5,2,1,4
Student 348,5,2,3,3,5,5,2,1,5
Student 349,4,3,3,1,4,3,2,1,5
Student 350,5,2,1,1,5,5,1,1,3
Student 351,4,2,1,1,4,5,3,2,5
Student 352,2,5,2,2,4,4,5,5,4
Student 353,4,2,1,1,5,4,1,2,5
Student 354,3,2,3,3,4,2,5,1,5
Student 355,1,3,2,2,4,1,5,2,5
Student 356,3,3,1,1,3,4,5,3,5
Student 357,2,3,2,2,4,3,5,2,4
Student 358,4,3,3,2,3,5,5,2,4
Student 359,2,3,2,2,3,4,5,1,5
Student 360,3,2,2,2,3,3,2,2,4
Student 361,4,2,2,1,5,4,5,3,5
Student 362,2,2,2,2,2,3,5,1,4
Student 363,4,3,4,2,4,3,5,5,4
Student 364,3,2,2,1,4,4,5,3,4
Student 365,4,2,1,2,4,3,4,1,5
Student 366,3,3,2,2,4,5,3,3,4
Student 367,2,3,2,3,2,3,2,1,4
Student 368,4,2,2,2,4,4,4,5,5
Student 369,4,4,2,2,1,4,5,1,5
Student 370,2,2,2,2,4,3,4,1,3
Student 371,3,2,1,1,4,5,5,3,5
Student 372,3,2,2,2,4,4,3,1,5
Student 373,2,2,1,3,2,3,2,1,4
Student 374,4,2,3,2,4,5,1,1,5
Student 375,2,3,2,2,4,5,1,4,4
Student 376,3,1,4,1,5,5,1,1,5
Student 377,5,2,3,2,5,5,1,1,5
Student 378,4,3,2,2,4,3,5,3,5
Student 379,2,3,3,2,4,4,3,3,4
Student 380,5,3,2,3,4,4,4,2,5
Student 381,4,2,1,1,3,3,1,2,5
Student 382,1,4,1,1,1,5,2,1,5
Student 383,3,4,1,1,4,3,5,2,4
Student 384,3,3,2,5,1,5,2,1,5
Student 385,4,2,4,1,5,5,5,2,4
Student 386,3,2,2,1,5,5,2,1,5
Student 387,3,3,2,3,3,4,4,3,3
Student 388,3,2,2,2,4,5,4,2,5
Student 389,3,3,2,4,2,2,2,1,4
Student 390,3,2,2,2,4,4,5,5,4
Student 391,2,4,2,4,3,4,5,2,4
Student 392,5,3,1,2,4,3,4,2,5
Student 393,3,2,1,1,3,3,5,3,4
Student 394,1,3,1,1,5,5,2,1,5
Student 395,5,3,1,1,4,3,5,2,4
Student 396,3,3,4,1,3,2,5,2,5
Student 397,3,3,2,1,3,3,3,1,5
Student 398,4,3,1,2,3,5,4,2,5
Student 399,4,3,1,1,4,5,4,3,4
Student 400,2,5,1,1,5,3,5,1,3
Student 401,2,2,2,1,3,5,2,1,5
Student 402,3,3,3,1,1,4,5,2,5
Student 403,3,3,1,1,3,4,5,2,5
Student 404,3,3,2,1,4,4,1,2,5
Student 405,3,3,1,2,4,3,3,2,4
Student 406,4,2,3,1,4,3,5,1,4
Student 407,3,2,2,2,2,5,1,1,5
Student 408,4,3,4,1,3,4,5,2,3
Student 409,3,3,2,2,3,3,5,3,4
Student 410,4,2,4,1,4,4,2,1,5
Student 411,3,3,2,1,4,4,1,1,5
Student 412,3,3,2,2,4,4,5,2,4
Student 413,3,2,2,2,4,5,5,2,5
Student 414,3,3,2,1,4,4,4,2,5
Student 415,5,2,3,2,4,3,2,1,5
Student 416,5,2,3,2,4,4,5,1,5
Student 417,3,2,4,2,5,4,1,2,3
Student 418,3,2,1,1,2,4,3,1,4
Student 419,3,4,1,1,2,2,3,2,4
Student 420,3,2,2,3,3,5,5,1,3
Student 421,3,3,1,2,3,4,5,2,5
Student 422,3,3,1,2,3,4,5,2,4
Student 423,4,3,3,2,4,5,4,1,5
Student 424,3,3,1,1,4,4,3,1,5
Student 425,3,3,2,1,3,5,3,1,5
Student 426,5,3,1,1,4,4,4,2,3
Student 427,3,3,1,2,4,2,5,2,5
Student 428,3,3,4,2,2,2,5,2,4
Student 429,3,5,2,1,5,5,5,3,5
Student 430,3,3,2,3,5,3,4,2,4
Student 431,4,2,1,2,3,5,5,2,1
Student 432,2,2,1,2,4,5,5,1,4
Student 433,4,2,1,1,3,3,1,2,5
Student 434,3,3,2,1,4,4,4,2,5
Student 435,4,4,4,3,2,5,5,3,4
Student 436,3,2,1,1,3,2,5,2,5
Student 437,3,2,2,1,3,4,5,2,5
Student 438,5,3,2,4,4,3,3,2,5
Student 439,4,3,2,1,3,1,5,1,5
Student 440,3,2,1,1,3,5,5,2,5
Student 441,4,2,1,2,4,5,5,2,5
Student 442,3,2,2,2,2,4,5,2,5
Student 443,4,3,2,2,4,2,5,1,4
Student 444,3,2,2,2,3,4,4,1,5
Student 445,3,4,2,4,2,3,4,3,3
Student 446,4,3,1,1,4,3,5,5,4
Student 447,3,2,2,2,3,4,1,1,3
Student 448,3,3,2,1,3,5,3,1,4
Student 449,4,2,1,1,2,4,5,2,5
Student 450,3,3,2,2,4,2,4,2,5
Student 451,3,3,2,4,2,3,5,2,5
Student 452,2,3,2,1,4,4,5,1,5
Student 453,3,2,1,2,4,5,2,2,4
Student 454,2,3,1,1,3,5,3,3,5
Student 455,4,3,2,3,4,2,5,1,4
Student 456,4,3,2,1,3,4,3,3,5
Student 457,3,3,2,2,1,2,4,2,3
Student 458,2,2,1,3,3,4,3,2,4
Student 459,3,4,1,2,3,4,4,1,4
Student 460,3,2,1,2,3,4,4,1,4
Student 461,2,3,1,1,2,2,1,1,4
Student 462,4,3,1,1,5,5,4,2,5
Student 463,3,2,1,1,3,4,2,1,5
Student 464,4,3,2,3,3,4,3,3,4
Student 465,3,3,1,2,3,4,1,1,2
Student 466,3,5,1,1,3,2,5,2,5
Student 467,1,3,1,1,4,4,5,5,4
Student 468,5,4,5,5,3,3,4,4,5
Student 469,3,1,3,3,2,3,1,1,3
Student 470,2,3,2,2,2,5,5,1,3
Student 471,3,2,1,1,5,4,5,1,5
Student 472,3,5,1,2,4,4,5,2,4
Student 473,3,2,2,2,1,3,2,1,4
Student 474,4,3,2,3,2,2,2,2,3
Student 475,4,2,1,1,3,4,5,1,5
Student 476,4,4,2,2,4,4,1,1,5
Student 477,4,2,1,2,4,5,5,1,5
Student 478,2,2,1,1,4,5,5,1,5
Student 479,4,2,1,1,5,5,5,2,5
Student 480,3,2,1,1,3,4,4,2,4
Student 481,3,2,1,4,2,2,3,2,3
Student 482,2,3,2,2,2,4,3,2,5
Student 483,5,3,1,1,5,5,1,1,5
Student 484,3,2,4,2,2,5,3,3,5
Student 485,4,3,1,1,5,5,5,2,5
Student 486,3,2,4,1,4,4,2,2,5
Student 487,3,2,2,2,5,2,5,1,2
Student 488,4,2,2,1,3,5,2,2,4
Student 489,3,2,1,1,5,5,1,1,5
Student 490,5,2,1,1,5,5,1,1,5
Student 491,3,2,4,2,5,5,2,2,4
Student 492,3,2,2,2,3,5,1,1,3
Student 493,5,1,1,1,5,4,1,2,5
Student 494,4,3,1,1,4,4,1,1,5
Student 495,4,3,2,1,3,3,5,2,4
Student 496,5,1,1,1,5,4,1,1,5
Student 497,5,1,1,1,5,5,1,1,5
Student 498,4,2,2,1,3,4,3,2,5
Student 499,3,4,2,2,3,4,3,2,5
Student 500,4,3,3,1,3,5,4,1,5
Student 501,4,2,1,1,4,4,1,1,4
Student 502,4,2,2,2,5,5,4,1,5
Student 503,3,2,2,2,4,3,3,1,4
Student 504,3,3,2,2,4,5,3,1,5
Student 505,4,2,1,1,5,5,2,1,5
Student 506,5,2,1,1,3,5,5,2,5
Student 507,5,3,1,2,4,5,3,2,5
Student 508,3,2,1,2,3,4,5,1,5
Student 509,4,4,1,3,3,3,2,1,4
Student 510,4,2,5,3,4,4,4,2,5
Student 511,3,3,2,2,3,2,3,3,3
Student 512,3,2,4,2,3,4,5,2,5
Student 513,5,3,2,2,3,4,2,1,4
Student 514,3,3,3,4,4,5,3,1,4
Student 515,4,2,5,1,4,4,1,1,3
Student 516,2,2,1,1,3,5,5,3,5
Student 517,3,3,1,1,4,4,2,2,5
Student 518,3,3,1,1,3,4,1,1,5
Student 519,2,3,5,2,3,4,5,1,4
Student 520,3,3,1,2,2,4,1,1,2
Student 521,4,2,1,2,4,2,5,5,3
Student 522,4,2,1,1,4,4,5,1,5
Student 523,2,3,2,2,5,3,4,1,5
Student 524,5,2,1,1,1,5,1,1,5
Student 525,2,3,2,2,3,3,5,2,5
Student 526,1,3,2,4,4,5,5,1,5
Student 527,5,3,1,1,4,3,5,2,5
Student 528,4,3,1,2,4,2,3,1,5
Student 529,1,2,2,2,4,3,5,1,5
Student 530,3,4,1,1,3,5,4,1,4
Student 531,3,4,1,2,1,3,2,3,4
Student 532,2,3,2,1,2,5,4,2,3
Student 533,4,1,1,2,5,5,2,1,4
Student 534,1,3,1,1,4,4,2,2,4
Student 535,3,2,1,1,3,5,3,1,4
Student 536,4,3,4,2,3,2,5,1,4
Student 537,2,3,1,3,3,5,5,2,2
Student 538,4,3,2,2,3,4,4,3,4
Student 539,5,4,1,2,5,4,1,1,5
Student 540,4,3,2,3,3,4,5,1,5
Student 541,2,3,2,2,4,2,5,5,5
Student 542,5,3,2,2,2,5,5,2,5
Student 543,3,2,4,1,3,4,5,3,4
Student 544,3,4,2,3,4,5,1,1,4
Student 545,4,4,1,1,5,1,5,1,5
Student 546,4,3,3,3,4,4,4,1,4
Student 547,4,2,1,2,3,3,2,2,5
Student 548,4,2,3,2,5,4,3,2,4
Student 549,3,2,1,2,3,4,4,1,5
Student 550,2,2,1,1,4,3,4,1,5
Student 551,4,2,2,2,3,4,5,4,4
Student 552,3,2,1,2,3,4,4,1,4
Student 553,4,2,1,1,4,4,2,1,5
Student 554,3,5,3,1,4,5,4,5,5
Student 555,4,3,3,4,4,3,5,2,3
Student 556,3,3,2,2,4,5,4,2,5
Student 557,3,2,2,3,5,4,1,1,4
Student 558,4,5,2,3,2,2,5,2,5
Student 559,3,3,2,2,4,5,2,2,5
Student 560,3,3,2,1,2,4,5,3,5
Student 561,3,2,3,4,3,4,4,2,5
Student 562,3,2,4,1,4,5,3,1,4
Student 563,3,3,1,1,4,4,2,1,2
Student 564,4,4,2,1,3,3,5,5,5
Student 565,2,3,2,2,5,4,3,2,3
Student 566,5,2,2,1,5,5,1,1,5
Student 567,4,3,4,4,2,4,4,2,5
Student 568,4,3,2,1,4,5,5,2,4
Student 569,5,2,1,2,4,5,5,1,5
Student 570,2,2,1,2,3,2,5,4,2
Student 571,3,3,5,4,3,2,4,2,4
Student 572,3,2,3,2,4,3,4,1,5
Student 573,4,1,1,2,4,5,1,1,5
Student 574,5,2,3,2,5,4,2,2,4
Student 575,3,4,2,1,3,2,5,2,4
Student 576,5,2,1,2,5,3,5,2,5
Student 577,3,3,1,2,3,4,4,1,4
Student 578,3,3,2,2,4,4,5,2,4
Student 579,5,3,1,2,3,3,1,2,5
Student 580,3,2,1,1,3,3,2,2,5
Student 581,2,3,3,1,3,5,2,3,5
Student 582,3,2,2,1,3,3,4,2,4
Student 583,3,4,4,2,4,4,2,1,4
Student 584,4,2,2,2,5,5,4,1,4
Student 585,3,2,1,2,5,4,1,2,4
Student 586,3,5,2,1,3,5,1,1,5
Student 587,2,2,2,2,2,2,5,2,4
Student 588,2,3,1,1,3,5,5,1,3
Student 589,3,2,1,1,5,4,5,3,4
Student 590,4,2,1,1,3,4,3,1,4
Student 591,4,3,4,2,4,5,2,1,5
Student 592,2,2,1,4,4,1,4,1,4
Student 593,3,3,1,2,4,2,5,5,4
Student 594,3,3,5,2,3,2,5,1,5
Student 595,2,2,1,2,5,4,1,1,5
Student 596,3,3,1,1,5,5,5,5,4
Student 597,4,2,2,2,3,5,2,2,5
Student 598,4,2,1,1,5,5,1,1,5
Student 599,4,3,1,1,3,3,4,1,5
Student 600,2,3,1,1,3,3,5,2,4
Student 601,3,2,2,2,4,4,2,1,2
